 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,114538.455,5627.505,0.000,644565760.626,3127199056.000,0.000
2,A:ExptArea:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,76568.178,5903.014,0.000,451983034.608,2192857588.000,0.000
3,A:Cntl1:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,90.279,5473.639,-95.515,494153.646,2397454.085,198.408
4,A:Expt1:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,56.064,5463.055,-95.711,306278.290,1485951.068,123.191
5,A:Cntl2:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,95.844,5192.566,-95.563,497675.965,2414543.095,210.741
6,A:Expt2:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,59.361,5498.969,-96.009,326426.570,1583703.207,130.105
7,A:Cntl3:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,88.218,5400.939,-94.430,476458.097,2311601.703,193.983
8,A:Expt3:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,75.232,5860.074,-93.783,440867.095,2138927.085,165.162
9,A:Cntl4:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,75.026,5655.174,-91.893,424286.341,2058483.287,164.892
10,A:Expt4:c:1/4 - SMPD3_gRNA1_Emb1_8ss_10x.czi #1,50.498,6503.705,-94.236,328426.833,1593407.757,110.624
