 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,69580.845,5302.853,0.000,368976995.041,1790142420.000,0.000
2,A:ExptArea:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,93015.204,4948.320,0.000,460268995.301,2233058061.000,0.000
3,A:Cntl1:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,80.179,4811.914,93.991,385815.074,1871834.667,176.125
4,A:Exp1:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,82.446,5241.319,92.153,432127.851,2096527.447,181.274
5,A:Cntl2:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,73.171,4835.258,91.456,353801.544,1716516.641,160.768
6,A:Exp2:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,98.523,4624.339,90.721,455605.844,2210434.145,216.575
7,A:Cntl3:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,44.109,5099.560,92.420,224935.599,1091305.859,96.788
8,A:Exp3:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,66.988,4515.410,92.121,302476.902,1467508.111,147.197
9,A:Cntl4:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,63.278,5925.446,92.806,374948.091,1819112.007,139.091
10,A:Exp4:c:1/4 - SMPD3_gRNA1_Emb6_8ss_10x.czi #1,66.369,5372.631,91.606,356578.033,1729987.157,145.791
