 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,40835.708,3429.237,0.000,140035305.211,679400354.000,0.000
2,A:ExptArea:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,44702.239,4233.699,0.000,189255820.285,918200386.000,0.000
3,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,48.849,3164.365,-104.744,154577.641,749954.477,107.036
4,A:Expt:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,37.513,4637.542,-102.426,173968.660,844032.647,82.286
5,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,39.574,3628.774,-103.601,143606.095,696724.527,86.880
6,A:Expt:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,52.353,4913.217,-100.244,257223.944,1247956.995,114.877
7,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,35.246,3279.693,-98.130,115595.550,560827.553,77.046
8,A:Expt:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,33.803,3848.495,-97.386,130090.795,631153.209,74.163
9,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,30.917,2846.385,-99.273,88002.852,426957.823,67.622
10,A:Expt:c:1/3 - SMPD3_gRNA1_Emb5snai2_10x.czi #1,38.338,3890.956,-97.472,149169.844,723717.814,83.793
