 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,146440.906,4233.127,0.000,619902891.528,3007543300.000,0.000
2,A:ExptArea:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,113448.119,5518.381,0.000,626049961.889,3037366649.000,0.000
3,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,151.701,3398.204,-90.000,515512.273,2501078.000,333.690
4,A:Expt:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,109.654,5100.417,-90.000,559279.776,2713422.000,241.074
5,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,55.857,4908.993,90.000,274203.784,1330337.000,122.580
6,A:Expt:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,109.654,4549.570,-90.000,498877.267,2420371.000,241.074
7,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,123.876,4220.794,-105.356,522853.903,2536696.917,272.597
8,A:Expt:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,92.958,6227.856,-89.236,578931.077,2808762.963,204.318
9,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,111.509,4185.144,-88.409,466680.322,2264163.135,245.255
10,A:Expt:c:1/3 - SMPD3_gRNA1_Emb2snai2_10x.czi #1,101.615,4890.797,-88.603,496979.315,2411162.829,223.434
